name,slug,name_scraped,birth_year_scraped,party_scraped,current_scraped,bill_count_scraped
"Senator Abdnor, James",james-abdnor/A000009,James Abdnor,1923,Republican,not current,"1,949"
"Representative Abercrombie, Neil",neil-abercrombie/A000014,Neil Abercrombie,1938,Democratic,not current,"4,472"
"Senator Abourezk, James",james-abourezk/A000017,James Abourezk,1931,Democratic,not current,875
"Representative Abraham, Ralph Lee",ralph-abraham/A000374,Ralph Lee Abraham,1954,Republican,current,736
"Senator Abraham, Spencer",spencer-abraham/A000355,Spencer Abraham,1952,Republican,not current,"1,227"
"Representative Abzug, Bella S.",bella-abzug/A000018,Bella S. Abzug,1920,Democratic,not current,"1,437"
"Representative Acevedo-Vila, Anibal",anibal-acevedo-vila/A000359,Commissioner Anibal Acevedo-Vila,1962,Democratic,not current,503
"Representative Ackerman, Gary L.",gary-ackerman/A000022,Gary L. Ackerman,1942,Democratic,not current,"7,315"
"Representative Adams, Alma S.",alma-adams/A000370,Alma S. Adams,1946,Democratic,current,"1,100"
"Senator Adams, Brock",brockman-adams/A000031,Brock Adams,1927,Democratic,not current,"1,713"
"Representative Adams, Sandy",sandy-adams/A000366,Sandy Adams,1956,Republican,not current,156
"Representative Addabbo, Joseph P.",joseph-addabbo/A000052,Joseph P. Addabbo,1925,Democratic,not current,"2,393"
"Representative Aderholt, Robert B.",robert-aderholt/A000055,Robert B. Aderholt,1965,Republican,current,"1,895"
"Representative Adler, John H.",john-adler/A000364,John H. Adler,1959,Democratic,not current,234
"Representative Aguilar, Pete",pete-aguilar/A000371,Pete Aguilar,1979,Democratic,current,"1,052"
"Senator Aiken, George",george-aiken/A000062,George Aiken,1892,Republican,not current,44
"Senator Akaka, Daniel K.",daniel-akaka/A000069,Daniel K. Akaka,1924,Democratic,not current,"6,120"
"Representative Akin, W. Todd",w-akin/A000358,W. Todd Akin,1947,Republican,not current,"1,634"
"Representative Albert, Carl",carl-albert/A000073,Carl Albert,1908,Democratic,not current,5
"Representative Albosta, Donald J.",donald-albosta/A000076,Donald J. Albosta,1925,Democratic,not current,820
"Representative Alexander, Bill",william-alexander/A000103,Bill Alexander,1934,Democratic,not current,"1,584"
"Senator Alexander, Lamar",lamar-alexander/A000360,Lamar Alexander,1940,Republican,current,"2,190"
"Representative Alexander, Rodney",rodney-alexander/A000361,Rodney Alexander,1946,History,not current,"1,435"
"Senator Allard, Wayne",a-allard/A000109,Wayne Allard,1943,Republican,not current,"2,187"
"Representative Allen, Clifford R.",clifford-allen/A000118,Clifford R. Allen,1912,Democratic,not current,155
"Senator Allen, George",george-allen/A000121,George Allen,1952,Republican,not current,"1,321"
"Senator Allen, James B.",james-allen/A000127,James B. Allen,1912,Democratic,not current,397
"Senator Allen, Maryon",maryon-allen/A000139,Maryon Allen,1925,Democratic,not current,4
"Representative Allen, Rick W.",rick-allen/A000372,Rick W. Allen,1951,Republican,current,743
"Representative Allen, Thomas H.",thomas-allen/A000357,Thomas H. Allen,1945,Democratic,not current,"2,254"
"Representative Allred, Colin Z.",colin-allred/A000376,Colin Z. Allred,1983,Democratic,current,339
"Representative Altmire, Jason",jason-altmire/A000362,Jason Altmire,1968,Democratic,not current,"1,118"
"Representative Amash, Justin",justin-amash/A000367,Justin Amash,1980,History,current,346
"Representative Ambro, Jerome A.",jerome-ambro/A000170,Jerome A. Ambro,1928,Democratic,not current,361
"Representative Ammerman, Joseph S.",joseph-ammerman/A000177,Joseph S. Ammerman,1924,Democratic,not current,117
"Representative Amodei, Mark E.",mark-amodei/A000369,Mark E. Amodei,1958,Republican,current,"1,147"
"Representative Anderson, Glenn M.",glenn-anderson/A000189,Glenn M. Anderson,1913,Democratic,not current,"2,750"
"Representative Anderson, John B.",john-anderson/A000195,John B. Anderson,1922,Republican,not current,761
"Senator Anderson, Wendell R.",wendell-anderson/A000202,Wendell R. Anderson,1933,Democratic,not current,338
"Representative Andrews, Ike",ike-andrews/A000207,Ike Andrews,1925,Democratic,not current,592
"Senator Andrews, Mark",mark-andrews/A000208,Mark Andrews,1926,Republican,not current,"1,802"
"Representative Andrews, Michael",michael-andrews/A000209,Michael Andrews,1944,Democratic,not current,"1,352"
"Representative Andrews, Robert E.",robert-andrews/A000210,Robert E. Andrews,1957,Democratic,not current,"4,558"
"Representative Andrews, Thomas H.",thomas-andrews/A000211,Thomas H. Andrews,1953,Democratic,not current,623
"Representative Annunzio, Frank",frank-annunzio/A000212,Frank Annunzio,1915,Democratic,not current,"2,175"
"Representative Anthony, Beryl, Jr.",beryl-anthony/A000213,Beryl Anthony Jr.,1938,Democratic,not current,"1,311"
"Representative Applegate, Douglas",douglas-applegate/A000214,Douglas Applegate,1928,Democratic,not current,"2,329"
"Representative Archer, Bill",bill-archer/A000215,Bill Archer,1928,Republican,not current,"2,142"
"Representative Arcuri, Michael A.",michael-arcuri/A000363,Michael A. Arcuri,1959,Democratic,not current,922
"Representative Arends, Leslie C.",leslie-arends/A000216,Leslie C. Arends,1895,Republican,not current,37
"Representative Armey, Richard K.",dick-armey/A000217,Richard K. Armey,1940,Republican,not current,"2,203"
"Representative Armstrong, Kelly",kelly-armstrong/A000377,Kelly Armstrong,1976,Republican,current,173
"Senator Armstrong, William L.",william-armstrong/A000219,William L. Armstrong,1937,Republican,not current,"1,506"
"Representative Arrington, Jodey C.",jodey-arrington/A000375,Jodey C. Arrington,1972,Republican,current,355
"Representative Ashbrook, Jean",jean-ashbrook/A000220,Jean Ashbrook,1934,Republican,not current,2
"Representative Ashbrook, John M.",john-ashbrook/A000221,John M. Ashbrook,1928,Republican,not current,637
"Senator Ashcroft, John",john-ashcroft/A000356,John Ashcroft,1942,Republican,not current,793
"Representative Ashford, Brad",brad-ashford/A000373,Brad Ashford,1949,Democratic,not current,403
"Representative Ashley, Thomas L.",thomas-ashley/A000222,Thomas L. Ashley,1923,Democratic,not current,492
"Representative Aspin, Les",les-aspin/A000224,Les Aspin,1938,Democratic,not current,"1,544"
"Representative Atkins, Chester G.",chester-atkins/A000226,Chester G. Atkins,1948,Democratic,not current,"2,622"
"Representative Atkinson, Eugene V.",eugene-atkinson/A000329,Eugene V. Atkinson,1927,Democratic,not current,386
"Representative AuCoin, Les",les-aucoin/A000337,Les AuCoin,1942,Democratic,not current,"2,678"
"Representative Austria, Steve",steve-austria/A000365,Steve Austria,1958,Republican,not current,414
"Representative Axne, Cynthia",cynthia-axne/A000378,Cynthia Axne,1965,Democratic,current,622
"Senator Ayotte, Kelly",kelly-ayotte/A000368,Kelly Ayotte,1968,Republican,not current,"1,399"
"Representative Babin, Brian",brian-babin/B001291,Brian Babin,1948,Republican,current,"1,043"
"Representative Baca, Joe",joe-baca/B001234,Joe Baca,1947,Democratic,not current,"2,616"
"Representative Bacchus, Jim",jim-bacchus/B000008,Jim Bacchus,1949,Democratic,not current,834
"Representative Bachmann, Michele",michele-bachmann/B001256,Michele Bachmann,1956,Republican,not current,"1,192"
"Representative Bachus, Spencer",spencer-bachus/B000013,Spencer Bachus,1947,Republican,not current,"3,014"
"Representative Bacon, Don",don-bacon/B001298,Don Bacon,1963,Republican,current,802
"Representative Badham, Robert E.",robert-badham/B000024,Robert E. Badham,1929,Republican,not current,"1,586"
"Representative Badillo, Herman",herman-badillo/B000025,Herman Badillo,1929,Democratic,not current,"1,613"
"Representative Baesler, Scotty",scotty-baesler/B000028,Scotty Baesler,1941,Democratic,not current,369
"Representative Bafalis, L. A. (Skip)",l-bafalis/B000029,L. A. (Skip) Bafalis,1929,Republican,not current,"1,027"
"Representative Bailey, Donald A.",donald-bailey/B000037,Donald A. Bailey,1945,Democratic,not current,568
"Representative Bailey, Wendell",wendell-bailey/B000047,Wendell Bailey,1940,Republican,not current,168
