name,slug
"Senator Abdnor, James",james-abdnor/A000009
"Representative Abercrombie, Neil",neil-abercrombie/A000014
"Senator Abourezk, James",james-abourezk/A000017
"Representative Abraham, Ralph Lee",ralph-abraham/A000374
"Senator Abraham, Spencer",spencer-abraham/A000355
"Representative Abzug, Bella S.",bella-abzug/A000018
"Representative Acevedo-Vila, Anibal",anibal-acevedo-vila/A000359
"Representative Ackerman, Gary L.",gary-ackerman/A000022
"Representative Adams, Alma S.",alma-adams/A000370
"Senator Adams, Brock",brockman-adams/A000031
"Representative Adams, Sandy",sandy-adams/A000366
"Representative Addabbo, Joseph P.",joseph-addabbo/A000052
"Representative Aderholt, Robert B.",robert-aderholt/A000055
"Representative Adler, John H.",john-adler/A000364
"Representative Aguilar, Pete",pete-aguilar/A000371
"Senator Aiken, George",george-aiken/A000062
"Senator Akaka, Daniel K.",daniel-akaka/A000069
"Representative Akin, W. Todd",w-akin/A000358
"Representative Albert, Carl",carl-albert/A000073
"Representative Albosta, Donald J.",donald-albosta/A000076
"Representative Alexander, Bill",william-alexander/A000103
"Senator Alexander, Lamar",lamar-alexander/A000360
"Representative Alexander, Rodney",rodney-alexander/A000361
"Senator Allard, Wayne",a-allard/A000109
"Representative Allen, Clifford R.",clifford-allen/A000118
"Senator Allen, George",george-allen/A000121
"Senator Allen, James B.",james-allen/A000127
"Senator Allen, Maryon",maryon-allen/A000139
"Representative Allen, Rick W.",rick-allen/A000372
"Representative Allen, Thomas H.",thomas-allen/A000357
"Representative Allred, Colin Z.",colin-allred/A000376
"Representative Altmire, Jason",jason-altmire/A000362
"Representative Amash, Justin",justin-amash/A000367
"Representative Ambro, Jerome A.",jerome-ambro/A000170
"Representative Ammerman, Joseph S.",joseph-ammerman/A000177
"Representative Amodei, Mark E.",mark-amodei/A000369
"Representative Anderson, Glenn M.",glenn-anderson/A000189
"Representative Anderson, John B.",john-anderson/A000195
"Senator Anderson, Wendell R.",wendell-anderson/A000202
"Representative Andrews, Ike",ike-andrews/A000207
"Senator Andrews, Mark",mark-andrews/A000208
"Representative Andrews, Michael",michael-andrews/A000209
"Representative Andrews, Robert E.",robert-andrews/A000210
"Representative Andrews, Thomas H.",thomas-andrews/A000211
"Representative Annunzio, Frank",frank-annunzio/A000212
"Representative Anthony, Beryl, Jr.",beryl-anthony/A000213
"Representative Applegate, Douglas",douglas-applegate/A000214
