state,club,city,club link
Alabama,Alabama Mineral & Lapidary Society,Birmingham,http://www.lapidaryclub.com/
Alabama,Dothan Gem & Mineral Club,Dothan,http://www.wiregrassrockhounds.com/
Alabama,Huntsville Gem and Mineral Society,Huntsville,http://huntsvillegms.org/
Alabama,Mobile Rock & Gem Society,Mobile,http://www.mobilerockandgem.com/
Alabama,Montgomery Gem & Mineral Society,Montgomery,http://montgomerygemandmineralsociety.com/mgms/
Alaska,Chugach Gem & Mineral Society,Anchorage,http://www.chugachgemandmineralsociety.com/
Alaska,Mat-Su Rock and Mineral Club,Palmer,http://matsurockclub.com/
Arizona,Apache Junction Rock and Gem Club,Apache Junction,http://www.ajrockclub.com/
Arizona,Black Canyon City Rock Club,Black Canyon City,http://www.bccrockclub.mysite.com/
Arizona,Daisy Mountain Rock & Mineral Club,Anthem,http://www.dmrmc.com/
Arizona,Gila County Gem & Mineral Society,Miami,http://gilagem.org/
Arizona,Huachuca Mineral and Gem Club,Sierra Vista,http://www.huachucamineralandgemclub.info/
Arizona,Lake Havasu Gem & Mineral Society,Lake Havasu City,http://www.lakehavasugms.org/
Arizona,Mineralogical Society of Arizona,Scottsdale,http://www.msaaz.org/
Arizona,Mingus Gem & Mineral Club,Cottonwood,http://www.mingusclub.org/
Arizona,Mohave County Gemstoners,Kingman,http://www.gemstoners.org/
Arizona,Old Pueblo Lapidary Club,Tucson,http://www.lapidaryclub.org/
Arizona,Pinal Gem and Mineral Society,Coolidge,https://www.pinalgeologymuseum.org/index.php/pinal-gem-mineral-society/about-pgms
Arizona,Prescott Gem & Mineral Club,Prescott Valley,http://www.prescottgemmineral.org/
Arizona,Quartzsite Roadrunners Gem & Mineral Club,Quartzsite,http://www.qrgmc.org/
Arizona,Rockhounds West,Phoenix,http://rockhounds.scwclubs.com/
Arizona,Sedona Gem & Mineral Club,Sedona,http://www.sedonagemandmineral.org/
Arizona,Silvery Colorado River Rock Club,Bullhead City,http://scrrc.blogspot.com/
Arizona,Sunsites Gem and Mineral Club,Pearce,https://sites.google.com/site/cochisecountyrock/
Arizona,Tucson Gem and Mineral Society,Tucson,http://www.tgms.org/
Arizona,Verde River Rockhounds,Cottonwood,http://www.verderiverrockhounds.com/
Arizona,West Valley Rock & Mineral Club,Buckeye,http://www.westvalleyrockandmineralclub.com/
Arizona,White Mountain Gem & Mineral Club,Show Low,http://whitemountain-azrockclub.org/
Arizona,Wickenburg Gem and Mineral Society,Wickenburg,http://www.wickenburggms.org/
Arkansas,"Central Arkansas Gem, Mineral and Geology Society",Little Rock,http://www.centralarrockhound.org/
Arkansas,Northwest Arkansas Gem & Mineral Society,Siloam Springs,http://www.nwarockhounds.org/
Arkansas,"Ozark Earth Science Gem, Mineral & Fossil Club",Mountain Home,https://www.ozarkearthscience.com/
California,Amador County Gem & Mineral Society,Sutter Creek,http://www.amadorgemandmineral.org/
California,American Opal Society,Anaheim,http://www.opalsociety.org/
California,Antelope Valley Gem and Mineral Club,Lancaster,http://avgem.weebly.com/
California,Antioch Lapidary Club,Antioch,http://www.antiochlapidaryclub.com/
California,Borrego Rock and Gem Club,Borrego Springs,http://www.abdnha.org/bragclub.html
